TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,67,36,31,0.537,48.1,113.2,32.7,0.701,9.4,4.7,17.5,14.2,15.9,51.9,14,16,15,16,25,12,13,12,5,18,11,6,22,23
1610612738,Boston Celtics,67,44,23,0.657,48.1,111.7,33.6,0.704,7.2,5.3,14.4,14.5,13.6,40.0,14,4,4,4,25,5,7,7,28,9,1,14,5,1
1610612751,Brooklyn Nets,67,17,50,0.254,48.2,118.2,29.4,0.687,7.7,4.3,19.7,14.4,17.3,53.3,14,27,27,27,12,27,30,20,22,24,27,12,29,25
1610612766,Charlotte Hornets,68,34,34,0.5,48.2,114.2,33.3,0.723,7.1,4.6,18.4,13.6,15.5,50.0,1,17,18,18,18,15,9,1,29,20,21,3,20,13
1610612741,Chicago Bulls,67,27,40,0.403,48.2,116.9,34.8,0.711,7.4,5.0,18.0,15.8,15.4,53.5,14,22,22,22,12,23,3,5,25,14,17,22,18,26
1610612739,Cleveland Cavaliers,68,41,27,0.603,48.2,113.4,32.3,0.685,8.7,5.2,17.8,14.5,15.9,46.1,1,7,8,8,18,14,16,22,10,11,13,15,21,6
1610612742,Dallas Mavericks,68,23,45,0.338,48.4,114.5,34.6,0.703,7.4,5.3,17.6,15.3,15.9,55.7,1,23,24,24,7,16,4,9,27,10,12,19,23,30
1610612743,Denver Nuggets,68,41,27,0.603,48.6,116.2,33.6,0.712,7.0,4.0,17.1,13.9,15.5,50.3,1,7,8,8,2,21,6,4,30,28,10,5,19,14
1610612765,Detroit Pistons,67,48,19,0.716,48.2,109.1,32.5,0.688,10.5,6.4,16.6,15.4,13.3,43.3,14,3,3,3,12,2,14,19,1,1,8,20,4,3
1610612744,Golden State Warriors,66,32,34,0.485,48.3,113.3,31.5,0.683,9.8,4.4,19.3,16.0,16.0,50.6,26,19,18,19,9,13,22,23,2,22,26,24,24,16
